"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\GIT\reports\reports\src\app\admin\admin-bug-reports\admin-bug-reports.component.html", "HTML", 0, 0, 38, 0, 13, 51
"d:\GIT\reports\reports\src\app\admin\admin-bug-reports\admin-bug-reports.component.scss", "SCSS", 148, 0, 0, 0, 35, 183
"d:\GIT\reports\reports\src\app\admin\admin-bug-reports\admin-bug-reports.component.ts", "TypeScript", 0, 103, 0, 30, 25, 158
"d:\GIT\reports\reports\src\app\admin\admin.component.html", "HTML", 0, 0, 14, 0, 3, 17
"d:\GIT\reports\reports\src\app\admin\admin.component.scss", "SCSS", 6, 0, 0, 0, 1, 7
"d:\GIT\reports\reports\src\app\admin\admin.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"d:\GIT\reports\reports\src\app\admin\sentences\admin-sentences.component.html", "HTML", 0, 0, 125, 5, 15, 145
"d:\GIT\reports\reports\src\app\admin\sentences\admin-sentences.component.scss", "SCSS", 460, 0, 0, 1, 97, 558
"d:\GIT\reports\reports\src\app\admin\sentences\admin-sentences.component.ts", "TypeScript", 0, 222, 0, 121, 48, 391
"d:\GIT\reports\reports\src\app\admin\services\console.service.ts", "TypeScript", 0, 15, 0, 0, 6, 21
"d:\GIT\reports\reports\src\app\admin\users\admin-users.component.html", "HTML", 0, 0, 30, 0, 4, 34
"d:\GIT\reports\reports\src\app\admin\users\admin-users.component.scss", "SCSS", 88, 0, 0, 0, 21, 109
"d:\GIT\reports\reports\src\app\admin\users\admin-users.component.ts", "TypeScript", 0, 152, 0, 32, 27, 211
"d:\GIT\reports\reports\src\app\app-routing.module.ts", "TypeScript", 0, 54, 0, 0, 3, 57
"d:\GIT\reports\reports\src\app\app.component.html", "HTML", 0, 0, 69, 9, 16, 94
"d:\GIT\reports\reports\src\app\app.component.scss", "SCSS", 193, 0, 0, 3, 39, 235
"d:\GIT\reports\reports\src\app\app.component.ts", "TypeScript", 0, 64, 0, 0, 15, 79
"d:\GIT\reports\reports\src\app\app.module.ts", "TypeScript", 0, 76, 0, 0, 3, 79
"d:\GIT\reports\reports\src\app\classes\classes.component.html", "HTML", 0, 0, 11, 0, 5, 16
"d:\GIT\reports\reports\src\app\classes\classes.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\GIT\reports\reports\src\app\classes\classes.component.ts", "TypeScript", 0, 9, 0, 0, 4, 13
"d:\GIT\reports\reports\src\app\classes\create-group\create-group.component.html", "HTML", 0, 0, 58, 10, 9, 77
"d:\GIT\reports\reports\src\app\classes\create-group\create-group.component.scss", "SCSS", 232, 0, 0, 1, 52, 285
"d:\GIT\reports\reports\src\app\classes\create-group\create-group.component.ts", "TypeScript", 0, 195, 0, 50, 44, 289
